err,data
2.6784001961767127e-11,5.60560218723178e-11
2.3474897258692194e-11,5.7671758010011976e-12
1.732870298199825e-9,4.618581752719991e-9
9.663696288842052e-10,2.6616029123033265e-9
6.980690101207749e-10,1.480772213183576e-9
5.610769662734625e-10,7.938652691751401e-10
4.782141471337405e-10,3.9262061534506737e-10
4.2251806204662505e-10,1.0867959202501322e-9
3.819648735426217e-10,1.2255136376565993e-9
3.36684429325101e-10,7.444802516698257e-11
2.8451384085434267e-10,8.632955956006923e-10
2.4385200789892516e-10,1.996563262620461e-10
2.1153606220836335e-10,3.0690411394108523e-10
1.8129266604950824e-10,5.521113152846919e-10
1.5722794494896526e-10,1.8335003486905472e-10
1.3659095675235608e-10,3.8058778530935674e-10
1.180699172752653e-10,8.457762751612802e-11
1.0312465497348467e-10,5.1112907897130666e-11
8.935420936149677e-11,1.3241450622235728e-10
7.819559108984475e-11,4.614339001675528e-11
6.81351933683047e-11,4.365798646145032e-11
5.946627463487557e-11,7.79022708005291e-11
5.201874473911452e-11,1.0547067064049084e-10
4.549855492338291e-11,-6.335199957549389e-11
3.98364643886288e-11,7.552385070208273e-11
3.4941812888057316e-11,1.0223951787909131e-11
1.8080459187146275e-9,6.2300518754497734e-9
1.0332790247384003e-9,2.9527790304946625e-9
7.608694100506896e-10,2.1722286460210036e-9
6.221741116373733e-10,2.64692028174821e-10
5.371654539581966e-10,5.83421721864637e-10
4.789788252773761e-10,1.0770607631083004e-9
4.360282876771207e-10,-3.8165494847461375e-10
3.864832342051703e-10,6.837136101921078e-10
3.2815656317766965e-10,4.750848143120405e-10
2.8240911546851494e-10,5.113590692435069e-10
2.458294664083661e-10,3.8786687779196004e-10
2.1131631488281386e-10,1.6046435518197037e-10
1.837261750433243e-10,-2.262586307546984e-10
1.5994810887804547e-10,3.8482247058570546e-10
1.385250781699724e-10,1.6172917879251244e-10
1.211929351933471e-10,3.417944439728751e-10
1.05181409227961e-10,1.644508715319713e-10
9.218814978890114e-11,1.934164513758479e-13
8.045818258756894e-11,-1.6887150727396835e-11
7.034250482658062e-11,-7.543179172126187e-11
6.165083854437185e-11,3.66885415582229e-11
5.404267879961842e-11,4.3093026690331004e-11
4.743599343023642e-11,7.264036866403637e-11
4.172645880760586e-11,7.776590815323782e-11
1.7252337939593056e-9,8.323752959870499e-9
8.920601446273332e-10,3.0405370756610987e-9
6.087564024743845e-10,1.9388175369663365e-9
4.723635141295481e-10,9.261489803198561e-10
3.9381295361665865e-10,1.605707960101257e-9
3.426450732284084e-10,7.924212119290351e-10
3.063585265374472e-10,3.326492636687909e-10
2.678282916170016e-10,6.524077639334645e-10
2.2479081564270635e-10,5.715968210622418e-10
1.9152537624782887e-10,4.1623391984600777e-10
1.6529499930969945e-10,2.589088582660707e-10
1.4103826737715052e-10,2.890081005122014e-10
1.2184129878374466e-10,9.948809610160197e-11
1.0548595019148517e-10,2.301294034144851e-10
9.090616929910353e-11,2.0015525799468676e-10
7.918126611167936e-11,3.2658531378425664e-10
6.843991660888413e-11,1.958910617502488e-10
5.976092645947237e-11,1.3055600679287644e-10
5.1970153896789916e-11,1.5169472804656268e-10
4.527854843785014e-11,1.4325766891206393e-10
3.95476116236437e-11,1.1439327209277167e-10
3.4546363007595644e-11,1.3179992581087086e-10
3.0213835960400424e-11,3.799149802871952e-11
2.647718367860324e-11,5.745037362273818e-11
2.19572287032727e-9,8.247261880885158e-9
1.187728385702032e-9,3.0632393402970226e-9
8.350398782931131e-10,2.1018693508840233e-9
6.59873318679054e-10,8.645150994806292e-10
5.564467554328108e-10,8.629551087371376e-10
4.881516926283048e-10,2.3045536441003843e-9
