err,data
2.8445128842537646e-8,1.2205205158059001e-8
2.1135946485344804e-8,2.8113289609369933e-8
1.667087436323858e-8,1.7083067298404327e-8
1.3750297910232113e-8,-9.927779861721642e-9
1.177424928925818e-8,1.9313533769581806e-8
2.8497037344797425e-7,4.3459472634581726e-7
9.999463026072529e-8,2.502490448160225e-7
5.344453808714323e-8,1.202717076217298e-7
3.4041822637717445e-8,-6.314727926660464e-9
2.490575811790464e-8,6.003214514948804e-8
1.9442023668418908e-8,2.688444861007865e-8
1.592108227395429e-8,5.663388193222667e-8
1.3565183721025237e-8,1.4891378023875082e-8
3.505780246115124e-7,9.295385812381311e-7
1.2467842045210846e-7,5.711615122658522e-7
6.33328278373082e-8,2.8531078171478943e-7
3.823158219317897e-8,1.8162858539688194e-7
2.681005458353729e-8,1.2283453044304338e-7
2.028880677162273e-8,9.524163207452183e-8
1.6225690977301965e-8,6.133930649513629e-8
1.3581543118759433e-8,4.980553674864705e-8
4.3514558981271357e-7,1.2716690153951961e-6
1.62099714619649e-7,6.657014001403026e-7
8.504432285722533e-8,3.125741867470537e-7
5.257386604215563e-8,2.5669926635853645e-7
3.7435657998333054e-8,1.4003358160934768e-7
2.862258127922808e-8,8.622721952143901e-8
2.3071224122703622e-8,1.0646701260968113e-7
1.942956540101884e-8,5.070637872486205e-8
1.7003142269735676e-7,3.074997380772469e-7
6.600566458595902e-8,3.2708494594684054e-8
3.688158489392697e-8,4.4961611666091305e-8
2.5704413089860295e-8,4.894577476637314e-8
1.874945276879418e-8,2.414406240730754e-8
1.492449715037893e-8,1.9092188330204998e-8
1.2431797475998006e-8,1.2051068965187125e-8
1.0457523319162787e-8,6.211148201046457e-9
8.752334893846711e-9,1.1258794709863082e-8
7.026950244638642e-9,5.088808681767749e-9
2.077146092952144e-7,-5.2650603809810913e-8
8.121041132774052e-8,-8.56734442664557e-8
4.436406874790565e-8,-4.404987473264488e-8
3.035041239130641e-8,5.034786608112914e-8
2.1869453495073087e-8,-5.156472687972005e-9
1.7271320936697237e-8,1.8432389565407672e-8
1.4308605061753821e-8,-5.248503818593624e-9
1.1989942123112042e-8,-3.78960887028509e-9
1.000627499908262e-8,-1.142814046247527e-8
8.014714466954074e-9,1.8248598208683492e-8
2.503845283959502e-7,3.332807018778449e-7
9.929049239352892e-8,1.5860009223736528e-7
